sex,age,address,Pstatus,Medu,Fedu,guardian,studytime,failures,schoolsup,famsup,paid,higher,internet,famrel,absences,G3
F,19,U,T,3,2,other,2,2,no,no,no,yes,no,3,4,9
M,18,R,T,1,2,father,1,0,no,yes,yes,no,yes,4,3,12
F,17,U,T,2,2,mother,3,0,no,no,no,yes,no,3,8,11
F,17,R,T,1,2,mother,1,0,no,no,no,yes,yes,3,14,5
F,18,R,T,4,4,mother,3,0,no,no,no,yes,yes,5,0,19
F,18,R,T,1,1,mother,3,0,no,no,no,yes,yes,4,2,10
F,20,U,T,4,2,other,3,2,no,yes,yes,yes,yes,5,4,15
F,18,R,T,4,4,mother,2,0,no,no,yes,yes,yes,5,4,10
F,18,U,T,3,3,mother,2,0,no,no,yes,yes,yes,4,0,15
F,17,R,T,3,1,mother,2,0,no,yes,yes,yes,yes,4,17,10
M,18,U,T,4,4,father,2,0,no,no,yes,yes,yes,3,4,14
M,18,R,T,2,1,mother,1,0,no,no,no,yes,yes,4,5,7
M,17,U,T,2,3,father,2,0,no,no,no,yes,yes,4,2,10
M,19,R,T,1,1,mother,1,1,no,no,no,yes,no,4,0,0
M,18,R,T,4,2,father,1,1,no,no,yes,yes,no,5,14,5
F,18,R,T,2,2,mother,3,0,no,no,yes,yes,no,5,2,10
F,18,R,T,4,4,mother,1,0,no,yes,yes,yes,yes,4,7,6
F,19,R,T,2,3,mother,3,1,no,no,no,yes,yes,5,0,0
F,18,U,T,3,1,mother,2,0,no,yes,yes,yes,yes,4,0,8
F,18,U,T,1,1,mother,2,1,no,no,no,yes,no,1,0,0
M,20,U,A,2,2,other,2,2,no,yes,yes,yes,no,5,11,9
M,17,U,T,3,1,mother,1,0,no,no,no,yes,yes,2,3,16
M,21,R,T,1,1,other,1,3,no,no,no,yes,no,5,3,7
M,18,R,T,3,2,mother,1,0,no,no,no,yes,yes,4,0,10
M,19,U,T,1,1,father,1,0,no,no,no,yes,yes,3,5,9
